Mon,date,year,r1
4,11,2013,57
4,10,2013,26
4,09,2013,09
4,08,2013,59
4,07,2013,15
4,06,2013,26
4,05,2013,88
4,04,2013,56
4,03,2013,00
4,02,2013,57
4,01,2013,17
3,31,2013,77
3,30,2013,67
3,29,2013,94
3,28,2013,39
3,27,2013,52
3,26,2013,27
3,25,2013,14
3,24,2013,16
3,23,2013,35
3,22,2013,16
3,21,2013,31
3,20,2013,57
3,19,2013,58
3,18,2013,03
3,17,2013,18
3,16,2013,67
3,15,2013,76
3,14,2013,23
3,13,2013,61
3,12,2013,68
3,11,2013,32
3,10,2013,65
3,09,2013,18
3,08,2013,55
3,07,2013,41
3,06,2013,36
3,05,2013,93
3,04,2013,39
3,03,2013,58
3,02,2013,16
3,01,2013,65
2,28,2013,71
2,27,2013,57
2,26,2013,49
2,25,2013,99
2,24,2013,25
2,23,2013,85
2,22,2013,46
2,21,2013,22
2,20,2013,53
2,19,2013,03
2,18,2013,84
2,17,2013,56
2,16,2013,56
2,15,2013,82
2,14,2013,88
2,13,2013,31
2,12,2013,99
2,11,2013,16
2,10,2013,30
2,09,2013,26
2,08,2013,20
2,07,2013,55
2,06,2013,31
2,05,2013,10
2,04,2013,15
2,03,2013,06
2,02,2013,57
2,01,2013,80
1,31,2013,75
1,30,2013,09
1,29,2013,47
1,28,2013,37
1,27,2013,53
1,26,2013,64
1,25,2013,38
1,24,2013,83
1,23,2013,70
1,22,2013,32
1,21,2013,39
1,20,2013,04
1,19,2013,33
1,18,2013,99
1,17,2013,06
1,16,2013,15
1,15,2013,42
1,14,2013,23
1,13,2013,29
1,12,2013,08
1,11,2013,68
1,10,2013,80
1,09,2013,83
1,08,2013,29
1,07,2013,48
1,06,2013,58
1,05,2013,43
1,04,2013,81
1,03,2013,05
1,02,2013,96
1,01,2013,77
12,31,2014,85
12,30,2014,03
12,29,2014,75
12,28,2014,21
12,27,2014,28
12,26,2014,68
12,25,2014,14
12,24,2014,31
12,23,2014,46
12,22,2014,12
12,21,2014,50
12,20,2014,93
12,19,2014,53
12,18,2014,99
12,17,2014,01
12,16,2014,28
12,15,2014,45
12,14,2014,63
12,13,2014,12
12,12,2014,35
12,11,2014,17
12,10,2014,08
12,09,2014,77
12,08,2014,62
12,07,2014,01
12,06,2014,22
12,05,2014,43
12,04,2014,19
12,03,2014,10
12,02,2014,13
12,01,2014,74
11,30,2014,83
11,29,2014,30
11,28,2014,48
11,27,2014,43
11,26,2014,56
11,25,2014,93
11,24,2014,72
11,23,2014,20
